game_id,start_at,completed_at,n_letters,first_guess,sort_on,model_params,word,turns
0aace60fe7ff8,2022-01-15 00:07:49.120170,2022-01-15 00:07:49.964973,5,great,model_rank,"{'freq': 0.10608400064469636, 'letter_score_by_word': 0.3950464084261095, 'letter_score_by_freq': 0.12238512026080584, 'distinct_letters': 0.6722943450611796}",kyoko,5
0bdbf7ecdf923,2022-01-15 00:07:52.287911,2022-01-15 00:07:52.928016,5,great,model_rank,"{'freq': 0.10488635203142216, 'letter_score_by_word': 0.3757636138828243, 'letter_score_by_freq': 0.670985234534337, 'distinct_letters': 0.2534242415965636}",cease,4
0c37cc39a7121,2022-01-15 00:07:55.144841,2022-01-15 00:07:55.606097,5,great,model_rank,"{'freq': 0.381423930598799, 'letter_score_by_word': 0.5166646159170754, 'letter_score_by_freq': 0.8651994732380647, 'distinct_letters': 0.7310380109426118}",marts,11
004f84abea646,2022-01-15 00:07:57.890096,2022-01-15 00:07:58.357956,5,great,model_rank,"{'freq': 0.3469886877315044, 'letter_score_by_word': 0.5061391791643827, 'letter_score_by_freq': 0.06423808756207872, 'distinct_letters': 0.9890549926586895}",lutea,5
0f01821c6f328,2022-01-15 00:08:00.627977,2022-01-15 00:08:01.206350,5,great,model_rank,"{'freq': 0.4834331624395861, 'letter_score_by_word': 0.8324811759004735, 'letter_score_by_freq': 0.7881512573915516, 'distinct_letters': 0.7473728158869232}",caris,8
073106ef10813,2022-01-15 00:08:03.423153,2022-01-15 00:08:04.366758,5,great,model_rank,"{'freq': 0.6658491658643433, 'letter_score_by_word': 0.48698437267237704, 'letter_score_by_freq': 0.8065051257463086, 'distinct_letters': 0.48394637340729685}",yahoo,4
08f41737d7c6a,2022-01-15 00:08:06.727771,2022-01-15 00:08:07.297936,5,great,model_rank,"{'freq': 0.07017713762926492, 'letter_score_by_word': 0.0007785757157869888, 'letter_score_by_freq': 0.7763103424652505, 'distinct_letters': 0.02625897079009598}",cameo,4
0a952333d97f6,2022-01-15 00:08:09.652073,2022-01-15 00:08:10.529835,5,great,model_rank,"{'freq': 0.4651313335546823, 'letter_score_by_word': 0.4940892245441866, 'letter_score_by_freq': 0.26553414697616917, 'distinct_letters': 0.14856462692030037}",ocala,4
070fda8c80fa7,2022-01-15 00:08:12.857984,2022-01-15 00:08:13.883291,5,great,model_rank,"{'freq': 0.5459435670385789, 'letter_score_by_word': 0.4430011304039557, 'letter_score_by_freq': 0.8855787453847992, 'distinct_letters': 0.18908337957918908}",honda,4
0ca8ec05a22f6,2022-01-15 00:08:16.227720,2022-01-15 00:08:16.883632,5,great,model_rank,"{'freq': 0.637374506054686, 'letter_score_by_word': 0.7930175852781572, 'letter_score_by_freq': 0.9710430500512561, 'distinct_letters': 0.8204144668460688}",edina,5
