game_id,start_at,completed_at,n_letters,first_guess,sort_on,model_params,word,turns
03bc8c08c1875,2022-01-18 22:26:02.343079,2022-01-18 22:26:03.158882,5,vytas,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",welds,7
0839c8e80487c,2022-01-18 22:55:24.028307,2022-01-18 22:55:26.440300,5,chock,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bling,6
128e619242471,2022-01-18 22:55:30.123007,2022-01-18 22:55:30.681648,5,rinde,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bling,8
29fb156a4afe0,2022-01-18 22:55:34.428707,2022-01-18 22:55:34.820058,5,tolba,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bling,4
3a12861d741bc,2022-01-18 22:55:38.527466,2022-01-18 22:55:39.086201,5,plzzz,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bling,7
4ddf6ad3557be,2022-01-18 22:55:42.765867,2022-01-18 22:55:43.546431,5,vamsi,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bling,6
51ad6dc4aa017,2022-01-18 22:55:47.272172,2022-01-18 22:55:47.700416,5,arani,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bling,7
6de4c88dc8369,2022-01-18 22:55:51.455163,2022-01-18 22:55:52.816088,5,chaco,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bling,5
75073e662f856,2022-01-18 22:55:56.561629,2022-01-18 22:55:57.355992,5,stylo,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bling,4
8399b9c62b125,2022-01-18 22:56:01.089565,2022-01-18 22:56:01.645220,5,tanoa,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bling,4
9cf89e01da904,2022-01-18 22:56:05.392029,2022-01-18 22:56:05.836358,5,lubac,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bling,7
107462ba0ba88b,2022-01-18 22:56:09.585993,2022-01-18 22:56:10.029696,5,bijay,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bling,4
114bf2692e91f8,2022-01-18 22:56:13.739977,2022-01-18 22:56:14.337533,5,vixen,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bling,6
