game_id,start_at,completed_at,n_letters,first_guess,sort_on,model_params,word,turns
09b9aab3f128d,2022-01-14 08:25:29.029249,2022-01-14 08:25:29.544606,5,arise,model_rank,"{'freq': 0.0, 'letter_score_by_word': 1.0, 'letter_score_by_freq': 0.0, 'distinct_letters': 0.25}",tolls,5
0c11ce342ce47,2022-01-14 08:27:00.884437,2022-01-14 08:27:01.432585,5,about,model_rank,"{'freq': 0.25, 'letter_score_by_word': 0.25, 'letter_score_by_freq': 1.0, 'distinct_letters': 0.25}",mists,6
1ccd2cef7e147,2022-01-14 08:27:03.700690,2022-01-14 08:27:04.616537,5,about,model_rank,"{'freq': 0.25, 'letter_score_by_word': 0.25, 'letter_score_by_freq': 1.0, 'distinct_letters': 0.25}",dryer,7
2acee6cf26335,2022-01-14 08:27:07.012727,2022-01-14 08:27:08.158596,5,about,model_rank,"{'freq': 0.25, 'letter_score_by_word': 0.25, 'letter_score_by_freq': 1.0, 'distinct_letters': 0.25}",shawn,5
318dc1e908c38,2022-01-14 08:27:10.677865,2022-01-14 08:27:11.303658,5,about,model_rank,"{'freq': 0.25, 'letter_score_by_word': 0.25, 'letter_score_by_freq': 1.0, 'distinct_letters': 0.25}",meaty,4
41c84e78a00c6,2022-01-14 08:27:13.793291,2022-01-14 08:27:14.712752,5,about,model_rank,"{'freq': 0.25, 'letter_score_by_word': 0.25, 'letter_score_by_freq': 1.0, 'distinct_letters': 0.25}",reiss,6
09744473b8a4d,2022-01-14 08:28:07.963610,2022-01-14 08:28:08.510156,5,their,model_rank,"{'freq': 0.25, 'letter_score_by_word': 0.25, 'letter_score_by_freq': 1.0, 'distinct_letters': 1.0}",stunk,6
0edffec6e5553,2022-01-14 08:28:10.811478,2022-01-14 08:28:11.344460,5,about,model_rank,"{'freq': 0.5, 'letter_score_by_word': 0.75, 'letter_score_by_freq': 0.0, 'distinct_letters': 0.75}",brash,4
0f51763cecf17,2022-01-14 08:28:13.617451,2022-01-14 08:28:14.014735,5,siena,model_rank,"{'freq': 1.0, 'letter_score_by_word': 1.0, 'letter_score_by_freq': 0.75, 'distinct_letters': 0.0}",santi,3
06dd58e1f7cb4,2022-01-14 08:28:16.311081,2022-01-14 08:28:17.153684,5,their,model_rank,"{'freq': 0.0, 'letter_score_by_word': 1.0, 'letter_score_by_freq': 0.25, 'distinct_letters': 1.0}",neues,5
0318635045da5,2022-01-14 08:28:19.466676,2022-01-14 08:28:20.155731,5,earth,model_rank,"{'freq': 0.75, 'letter_score_by_word': 0.25, 'letter_score_by_freq': 0.75, 'distinct_letters': 0.5}",kamil,4
021f68b5dad4f,2022-01-14 08:28:22.443723,2022-01-14 08:28:22.998061,5,anise,model_rank,"{'freq': 0.0, 'letter_score_by_word': 0.25, 'letter_score_by_freq': 0.0, 'distinct_letters': 1.0}",leafy,4
