game_id,start_at,completed_at,n_letters,first_guess,sort_on,model_params,word,turns
0948b0b29f3b2,2022-01-19 19:52:48.556655,2022-01-19 19:52:49.921035,5,ikons,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",matey,7
0c37b745a6bac,2022-01-19 19:52:54.005734,2022-01-19 19:52:55.308546,5,kazuo,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",spelt,5
077aa8338c4e9,2022-01-19 19:52:59.557288,2022-01-19 19:53:02.135427,5,civil,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",hobby,7
0f8325456b983,2022-01-19 19:53:06.467228,2022-01-19 19:53:07.190205,5,scudi,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bland,4
0073db15d4d89,2022-01-19 19:53:11.443289,2022-01-19 19:53:12.388571,5,sayon,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",gekko,6
0fc0c6cf27621,2022-01-19 19:53:16.694192,2022-01-19 19:53:17.190656,5,jalpa,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",skips,5
01bd18d458ade,2022-01-19 19:53:21.473693,2022-01-19 19:53:21.981133,5,manav,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",magog,5
08231d2f4ab45,2022-01-19 19:53:26.063379,2022-01-19 19:53:26.646265,5,lugal,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",knuth,5
0d66a77ce3114,2022-01-19 19:53:30.815335,2022-01-19 19:53:32.203425,5,jcsat,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",named,7
0ff7a656f2231,2022-01-19 19:53:36.462256,2022-01-19 19:53:37.815386,5,iruka,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",jaden,7
0a81e14dcb385,2022-01-19 19:53:42.038915,2022-01-19 19:53:42.848906,5,colne,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",janky,6
017a5cfd65dc4,2022-01-19 19:53:46.908223,2022-01-19 19:53:51.480388,5,ppgpp,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",liars,7
0ac18ad07505d,2022-01-19 19:53:55.552199,2022-01-19 19:53:56.122941,5,volta,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",malls,7
0df45e6874fba,2022-01-19 19:54:00.191473,2022-01-19 19:54:00.568731,5,cosco,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bucko,5
061611740ae9a,2022-01-19 19:54:04.630793,2022-01-19 19:54:05.931095,5,plast,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",naïve,7
028754636e1f3,2022-01-19 19:54:09.987909,2022-01-19 19:54:10.829645,5,sigla,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",tapes,12
0b96ec9c3b4a5,2022-01-19 19:54:14.985299,2022-01-19 19:54:15.498935,5,sarek,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",daraa,5
06985d4299330,2022-01-19 19:54:19.758103,2022-01-19 19:54:20.382341,5,cycle,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",chinn,7
0bf90a735d48c,2022-01-19 19:54:24.767579,2022-01-19 19:54:26.808206,5,sotho,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",jäger,6
0b9501ea7d795,2022-01-19 19:54:30.941148,2022-01-19 19:54:31.397578,5,nasar,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",tatar,8
03a57347993dd,2022-01-19 19:54:35.563898,2022-01-19 19:54:36.479342,5,helos,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",emery,5
04fee4f69a92b,2022-01-19 19:54:40.656471,2022-01-19 19:54:41.237304,5,galgo,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",jamal,8
0490d1f25be68,2022-01-19 19:54:45.484557,2022-01-19 19:54:47.260281,5,seens,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",poofy,8
03a8557f4cae6,2022-01-19 19:54:51.456205,2022-01-19 19:54:52.212993,5,hardt,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",ricks,5
08d2e18097406,2022-01-19 19:54:56.438737,2022-01-19 19:54:57.754593,5,spens,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",borel,6
097e583877795,2022-01-19 19:55:01.934854,2022-01-19 19:55:02.341090,5,appie,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",peele,4
08c4fd84dabe7,2022-01-19 19:55:06.600660,2022-01-19 19:55:07.626175,5,hiera,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",falco,8
08bc4f5bd0182,2022-01-19 19:55:11.883698,2022-01-19 19:55:13.086265,5,idpol,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",abbie,4
090ac85f7f39d,2022-01-19 19:55:17.360720,2022-01-19 19:55:17.927847,5,karyn,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",harts,6
0d01721fb67f3,2022-01-19 19:55:22.122669,2022-01-19 19:55:22.857847,5,avtar,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",nsdap,5
0466e53644132,2022-01-19 19:55:26.990127,2022-01-19 19:55:28.260377,5,fujii,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",arisa,4
0a5b7415e9d36,2022-01-19 19:55:32.318485,2022-01-19 19:55:32.937398,5,costo,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",kahlo,5
0496cb3f3578b,2022-01-19 19:55:37.301562,2022-01-19 19:55:39.677486,5,waaay,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",crunk,5
09288a222fc78,2022-01-19 19:55:43.787728,2022-01-19 19:55:44.564075,5,grano,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",landa,10
0757f27be19cb,2022-01-19 19:55:48.747101,2022-01-19 19:55:49.272699,5,malis,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",atman,7
054315b04db4f,2022-01-19 19:55:53.495634,2022-01-19 19:55:53.959852,5,hurls,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bhanu,4
09e3c46113d22,2022-01-19 19:55:58.205180,2022-01-19 19:55:58.865522,5,cueto,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",tasha,6
