game_id,turn_number,guess,words_possible,letters_in,letters_out,pos_yes,pos_no,freq,letter_score_by_word,letter_score_by_freq,distinct_letters,letter_pos_score_by_word,letter_pos_score_by_freq,model_params,model_rank,response
04e19a885ff13,1,their,38809,[],[],"[[], [], [], [], []]","[[], [], [], [], []]",0.8511380382023769,0.7604500472916697,0.9352773670285124,1.0,0.4608837588900548,0.7546769945682399,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",4.762426205980853,__-__
04e19a885ff13,2,makes,4265,['e'],"['t', 'h', 'r', 'i']","[[], [], [], [], []]","[[], [], ['e'], [], []]",0.5623413251903491,0.7557288351368554,0.8393948260191141,1.0,0.865915750739134,0.9244918802021311,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",4.947872617287584,_-_-_
04e19a885ff13,3,place,375,"['e', 'a']","['r', 's', 't', 'h', 'i', 'k', 'm']","[[], [], [], [], []]","[[], ['a'], ['e'], ['e'], []]",1.0,0.611587982832618,1.0,1.0,0.571444585606457,1.0,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",5.183032568439075,_+-_+
04e19a885ff13,4,alone,3,"['e', 'a', 'l']","['r', 's', 't', 'c', 'h', 'p', 'i', 'k', 'm']","[[], ['l'], [], [], ['e']]","[[], ['a'], ['e', 'a'], ['e'], []]",1.0,1.0,1.0,1.0,1.0,1.0,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",6.0,++__+
04e19a885ff13,5,algae,2,"['e', 'a', 'l']","['r', 's', 't', 'c', 'o', 'n', 'h', 'p', 'i', 'k', 'm']","[['a'], ['l'], [], [], ['e']]","[[], ['a'], ['e', 'a'], ['e'], []]",1.0,1.0,1.0,1.0,1.0,1.0,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",6.0,+++++
1f1827f6fa196,1,their,38809,[],[],"[[], [], [], [], []]","[[], [], [], [], []]",0.8511380382023769,0.7604500472916697,0.9352773670285124,1.0,0.4608837588900548,0.7546769945682399,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",4.762426205980853,-_-__
1f1827f6fa196,2,state,933,"['t', 'e']","['h', 'r', 'i']","[[], [], [], [], []]","[['t'], [], ['e'], [], []]",1.0,0.748421052631579,0.8776283151881169,0.8,0.3759866963859983,0.8817045822827442,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",4.683740646488439,+--+-
1f1827f6fa196,3,septa,6,"['t', 'e', 's', 'a']","['h', 'r', 'i']","[['s'], [], [], ['t'], []]","[['t'], ['t'], ['e', 'a'], [], ['e']]",1.0,1.0,1.0,1.0,1.0,1.0,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",6.0,+++++
26260c8bc4571,1,their,38809,[],[],"[[], [], [], [], []]","[[], [], [], [], []]",0.8511380382023769,0.7604500472916697,0.9352773670285124,1.0,0.4608837588900548,0.7546769945682399,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",4.762426205980853,-_-__
26260c8bc4571,2,state,933,"['t', 'e']","['h', 'r', 'i']","[[], [], [], [], []]","[['t'], [], ['e'], [], []]",1.0,0.748421052631579,0.8776283151881169,0.8,0.3759866963859983,0.8817045822827442,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",4.683740646488439,_-_++
