game_id,start_at,completed_at,n_letters,first_guess,sort_on,model_params,word,turns,,,,,,,,
0b74098729dea,30:51.1,30:52.0,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",kiely,4,,,,,,,,
1ca9689136bd9,30:56.1,30:56.7,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",infer,5,,,,,,,,
20b8962bb580f,31:00.6,31:01.6,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",boozy,5,,,,,,,,
368fdf762c8d2,31:05.8,31:06.4,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",bette,6,,,,,,,,
4363ae07777f7,31:10.5,31:11.4,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",fiefs,5,,,,,,,,
5e8de6c595190,31:15.4,31:16.0,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",moose,4,,,,,,,,
652c3f79f0123,31:20.0,31:20.6,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",xcode,3,,,,,,,,
7e50d30cd2e02,31:24.6,31:25.2,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",wotan,4,,,,,,,,
8e4a565fc961d,31:29.1,31:30.4,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",civic,4,,,,,,,,
9315a268b5634,31:34.3,31:34.8,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",podge,5,,,,,,,,
103b316708943c,31:38.8,31:40.2,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",wilks,5,,,,,,,,
11bbcd5485241d,31:44.1,31:45.4,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",mafia,5,,,,,,,,
12b0482c863685,31:49.5,31:50.1,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",marlo,4,,,,,,,,
135005dffd5f6f,31:54.1,31:54.5,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",organ,2,,,,,,,,
142725ed67c2ba,31:58.5,31:59.5,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",movin,6,,,,,,,,
158b3d5870b970,32:03.6,32:04.5,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",aleks,5,,,,,,,,
1629f2599f7faa,32:08.5,32:09.5,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",modoc,6,,,,,,,,
1705ba698b41b8,32:13.6,32:14.2,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",groin,5,,,,,,,,
1849c44862872b,32:18.3,32:18.8,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",tater,17,,,,,,,,
195fe3db72db73,32:22.8,32:24.2,5,other,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",giddy,5,,,,,,,,
0e68fcb7264ef,32:28.2,32:28.7,5,after,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",meath,5,,,,,,,,
1271ba4384ef2,32:32.6,32:33.1,5,after,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",alter,2,,,,,,,,
2b452ea952f21,32:36.9,32:37.4,5,after,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",thoma,3,,,,,,,,
3f808998689e4,32:41.3,32:41.7,5,after,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",matar,4,,,,,,,,
44c85d9f9bc92,32:45.5,32:46.2,5,after,model_rank,"{'freq': 1, 'letter_score_by_word': 1, 'letter_score_by_freq': 1, 'distinct_letters': 1}",maron,5,,,,,,,,
